,Unnamed: 0,Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count,bot_or_nah
5,5,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
12,12,OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110,1
13,13,tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0,1
16,16,LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44,1
17,17,MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1,1
21,21,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
33,33,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
40,40,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
43,43,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
45,45,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
46,46,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
52,52,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
53,53,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
54,54,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
55,55,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
70,70,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
79,79,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
81,81,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
