,Id1,Id2,Interaction
0,JudyWoods8,igorsushko,RT
1,anchorjiya,ABPNews,RT
1,anchorjiya,anchorjiya,RT
1,anchorjiya,ABPNews,RT
1,anchorjiya,anchorjiya,RT
2,AndriyBoguslav,EmineDzheppar,RT
2,AndriyBoguslav,coe,RT
2,AndriyBoguslav,Dunja_Mijatovic,RT
2,AndriyBoguslav,EmineDzheppar,RT
2,AndriyBoguslav,coe,RT
2,AndriyBoguslav,Dunja_Mijatovic,RT
2,AndriyBoguslav,EmineDzheppar,RT
2,AndriyBoguslav,coe,RT
2,AndriyBoguslav,Dunja_Mijatovic,RT
3,Voevoda_BY,oryxspioenkop,RT
5,Santin16Giorgio,sandumaiamd,Mention
6,VivekanandMaity,The5HbK,RT
7,BrotherLeeLuv,WhereisRussia,RT
8,klebebrasil,OnePaul87,RT
9,johnnyh92539958,YouTube,Mention
10,Amitochondrio,HannahBree72,RT
11,Carolho93444463,AlympiyaChowdh1,RT
12,OlehOstrowsky,lesiavasylenko,RT
13,tatersngravy_71,nyprepper1,Mention
13,tatersngravy_71,newsklw,Mention
13,tatersngravy_71,nyprepper1,Mention
13,tatersngravy_71,newsklw,Mention
14,deirtagge,ejmalrai,RT
15,deirtagge,ejmalrai,RT
16,LaylaGorka,nexta_tv,RT
17,MAMARTINEZNica,MAMARTINEZNica,RT
18,tommyT2T23,GordonGChang,RT
19,cleary_clearly,GordonGChang,RT
21,Santin16Giorgio,RaufHabibov,Mention
21,Santin16Giorgio,sandumaiamd,Mention
21,Santin16Giorgio,EmmanuelMacron,Mention
21,Santin16Giorgio,NATO,Mention
21,Santin16Giorgio,RaufHabibov,Mention
21,Santin16Giorgio,sandumaiamd,Mention
21,Santin16Giorgio,EmmanuelMacron,Mention
21,Santin16Giorgio,NATO,Mention
21,Santin16Giorgio,RaufHabibov,Mention
21,Santin16Giorgio,sandumaiamd,Mention
21,Santin16Giorgio,EmmanuelMacron,Mention
21,Santin16Giorgio,NATO,Mention
21,Santin16Giorgio,RaufHabibov,Mention
21,Santin16Giorgio,sandumaiamd,Mention
21,Santin16Giorgio,EmmanuelMacron,Mention
21,Santin16Giorgio,NATO,Mention
22,Richard24856748,lesiavasylenko,RT
23,jessecox1953,GordonGChang,RT
24,deltacrook,GordonGChang,RT
25,mfaulstone,halyapuff,RT
26,CorruptPunjab,ArthurM40330824,RT
27,DakotaSidwell,CBKNEWS121,RT
28,kyberskeble,nexta_tv,RT
29,deirtagge,ejmalrai,RT
29,deirtagge,EmmanuelMacron,RT
29,deirtagge,ejmalrai,RT
29,deirtagge,EmmanuelMacron,RT
30,karenchke,Wenyee_Lee,RT
30,karenchke,CommerceGov,RT
30,karenchke,Wenyee_Lee,RT
30,karenchke,CommerceGov,RT
31,1foreverseeking,amborin,RT
32,Shashan20797894,the_hindu,RT
33,JohnnyL55189795,Paul69405499,Mention
33,JohnnyL55189795,medialens,Mention
33,JohnnyL55189795,GeorgeMonbiot,Mention
33,JohnnyL55189795,Paul69405499,Mention
33,JohnnyL55189795,medialens,Mention
33,JohnnyL55189795,GeorgeMonbiot,Mention
33,JohnnyL55189795,Paul69405499,Mention
33,JohnnyL55189795,medialens,Mention
33,JohnnyL55189795,GeorgeMonbiot,Mention
36,chance4phun,GordonGChang,RT
37,SeanMConnolly,igorsushko,RT
38,CassandraMakhno,halyapuff,RT
39,yume6tsumi0,halyapuff,RT
40,ahlbaytrevive,richimedhurst,Mention
41,dragonfire55555,EmineDzheppar,RT
42,Guate_Inmortal_,GordonGChang,RT
43,GhoulPanza,GeorgeSirdar,RT
44,clauden48363105,Circonscripti18,RT
47,generalklaus1,Circonscripti18,RT
49,DonQuixote1950,JuliaDavisNews,RT
51,ronaldobianque9,HugoBor73884636,RT
52,AnneAnton3,halyapuff,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
53,rohanku67440943,ZeeNews,RT
53,rohanku67440943,AJEnglish,RT
53,rohanku67440943,ExMuslimSameer,RT
53,rohanku67440943,ExmuslimSahil,RT
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
53,rohanku67440943,ZeeNews,RT
53,rohanku67440943,AJEnglish,RT
53,rohanku67440943,ExMuslimSameer,RT
53,rohanku67440943,ExmuslimSahil,RT
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
53,rohanku67440943,ZeeNews,RT
53,rohanku67440943,AJEnglish,RT
53,rohanku67440943,ExMuslimSameer,RT
53,rohanku67440943,ExmuslimSahil,RT
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
53,rohanku67440943,ZeeNews,RT
53,rohanku67440943,AJEnglish,RT
53,rohanku67440943,ExMuslimSameer,RT
53,rohanku67440943,ExmuslimSahil,RT
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
53,rohanku67440943,ZeeNews,RT
53,rohanku67440943,AJEnglish,RT
53,rohanku67440943,ExMuslimSameer,RT
53,rohanku67440943,ExmuslimSahil,RT
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
53,rohanku67440943,kaafir_indian,RT
53,rohanku67440943,NewsNation,RT
