Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count
JudyWoods8,2023-02-11 02:57:52+00:00,0,Twitter for iPhone,"RT @igorsushko: #Russia: Bread line 🍞 of Ukrainians who weren't imprisoned or executed in fascist-occupied #Mariupol. 
Welcome to Russkiy M…",7633,7865,282
anchorjiya,2023-02-11 02:57:45+00:00,0,Twitter for iPhone,"RT @ABPNews: Watch: पुतिन मेट डोभाल...पाकिस्तान का बुरा हाल?, आतंकवाद से लेकर अफगानिस्तान के मुद्दे पर चर्चा 

@anchorjiya 

https://t.co/s…",9898,147,4
AndriyBoguslav,2023-02-11 02:57:41+00:00,0,Twitter for iPhone,"RT @EmineDzheppar: Had a fruitful meeting with @coe Human Rights Commissioner @Dunja_Mijatovic.
We discussed the situation in #Crimea and #…",1169,71,39
Voevoda_BY,2023-02-11 02:57:40+00:00,0,Twitter Web App,RT @oryxspioenkop: #UkraineWar: #Russia is now visually confirmed to have lost 50 T-90 MBTs since it launched its invasion of #Ukraine on F…,411,113,223
NikkhahTourage,2023-02-11 02:57:39+00:00,1,Twitter Web App,"They will send you to take holocaust class ...
Just dont mention a word about occupation of
#Palestine… https://t.co/gIcNxEHgCM",90,87,0
Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0
VivekanandMaity,2023-02-11 02:57:33+00:00,0,Twitter for Android,"RT @The5HbK: #Breaking Readiness

#Ukraine️ #UkraineRussianWar #Internationalleaks #Russia https://t.co/KfuOIrnqeq",194,4855,22
BrotherLeeLuv,2023-02-11 02:57:27+00:00,0,Twitter Web App,"RT @WhereisRussia: The disastrous losses continue for 🇷🇺 Armed forces at #Vuhledar.

Yet to see any significant Russian success on this fro…",913,1929,21
klebebrasil,2023-02-11 02:57:06+00:00,0,Twitter for Android,"RT @OnePaul87: 🇷🇺🇺🇦🪖🛩️💥— Ao longo da noite e da manhã, as Forças Aeroespaciais Russas realizaram tantos ataques contra a infraestrutura ucr…",208,710,8
johnnyh92539958,2023-02-11 02:57:00+00:00,0,Twitter Web App,JUST IN: #TulsiGabbard Calls Out #HillaryClinton And #MittRomney For 'Ba... https://t.co/65sszXl7pr via @YouTube… https://t.co/FLbKdyK3L2,166,371,0
Amitochondrio,2023-02-11 02:56:51+00:00,0,Twitter Web App,RT @HannahBree72: This is a nuke map created in 2015 and now regurgitated on the heels of Putin’s nuke threats. #Ukraine #Russia https://t.…,549,711,1
Carolho93444463,2023-02-11 02:56:44+00:00,0,Twitter for iPhone,"RT @AlympiyaChowdh1: Причини, чому вторгнення Росії не пішло за планом:

1. Українці

#volodymyrzelenskyy #zelenskyy #soledar #worldwariii…",619,3526,1
OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110
tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0
deirtagge,2023-02-11 02:55:59+00:00,0,Twitter Web App,"RT @ejmalrai: #Breakingnews / #Exclusive :
#Russia has started its own drone productions, much more sophisticated than the #Iran/ian drones…",379,1554,33
deirtagge,2023-02-11 02:55:56+00:00,0,Twitter Web App,"RT @ejmalrai: Romania denies reports that its airspace was violated by a Russian missile. And if #Russia missiles crossed #Romania, nothing…",379,1554,16
LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44
