Id,Followers,Following,Retweet Count,is_retweet,is_mention,Betweenness,Degree,Closeness,Influence Score
ABPNews,13254113.0,37.0,17.0,0.0,0.0,5.864345949496251e-06,0.0029644268774703555,0.0029644268774703555,94002110.49464269
ZeeNewsEnglish,5652959.0,26.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40092481.822665334
News18India,3094996.0,90.0,2.0,0.0,1.0,5.864345949496251e-06,0.0029644268774703555,0.0029644268774703555,21950757.85638669
AmarUjalaNews,2085040.0,86.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14787847.763698328
tv9gujarati,912951.0,64.0,2.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,6475015.114557329
TheStudyofWar,581790.0,2761.0,1.5,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,4130499.636246329
TV9Bharatvarsh,230429.0,21.0,1.75,0.0,0.75,0.0,0.0009881422924901185,0.0009881422924901185,1634302.535859829
anjali_speak,105789.0,420.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,750936.8552713289
RajLaveena,89029.0,266.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,631831.6087213289
janrostowski,57341.0,457.0,73.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,407388.1703083291
HillBeverlyhill,34277.0,33173.0,56.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,294460.61765432905
kk131066,31488.0,26137.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,263786.2952133291
RebHarms,35262.0,3195.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,255035.18286732904
ob2133,23916.0,19889.0,81.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,200412.18751132904
s_szama,26005.0,7444.0,40.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,195960.36442732904
Bharat24Liv,23682.0,15.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,167982.93079932907
oneindiagujarat,22750.0,2027.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,164487.78123732904
AlCannistra,18141.0,18762.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,157707.87845532905
HeyIrish,16071.0,16418.0,11.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,139398.07870132904
FabioGhironi,18551.0,3534.0,1107.3333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0009881422924901185,0.0009881422924901185,137062.84231932904
OfHomoSapiens,15670.0,14197.0,90.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,133117.22428732904
GueberB,15024.0,14399.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,128846.49917932905
